Player,Team,Passes,Total_xT,xT
A. Anderson,Glasgow City,94,0.11968335999999999,0.12
A. Black,Aberdeen,168,0.63085919,0.631
A. Bulloch,Motherwell,136,0.31335008,0.313
A. Clarke,Aberdeen,37,0.29509358,0.295
A. Denholm,Motherwell,13,0.10358611,0.104
A. Easdon,Montrose,40,0.23101712000000002,0.231
A. Gallacher,Celtic,214,0.8488703099999999,0.849
A. Griffiths,Rangers,171,0.245954,0.246
A. Handley,Partick Thistle,218,0.34571810999999997,0.346
A. Harrison,Glasgow City,67,-0.45538828,-0.455
A. Muir,Glasgow City,252,0.06665386,0.067
A. Richardson,Celtic,46,0.26982579,0.27
A. Robertson,Montrose,106,0.13968195,0.14
A. Streicek,Celtic,211,0.09782815,0.098
A. Tobin,Aberdeen,177,0.25661579,0.257
B. Collins,Motherwell,219,1.0294273299999999,1.029
B. Galloway,Aberdeen,44,0.20681214999999997,0.207
B. Greenwood,Hearts,32,-0.007557670000000006,-0.008
B. Hay,Rangers,147,2.13139665,2.131
B. Hutchison,Hearts,51,-0.04698622,-0.047
C. Boyce,Motherwell,128,0.8730779999999999,0.873
C. Cowper,Montrose,95,0.89872748,0.899
C. Delworth,Montrose,40,0.68526322,0.685
C. Docherty,Hamilton Academical,22,0.004156910000000012,0.004
C. Gibb,Hibernian,189,2.43690092,2.437
C. Gover,Montrose,153,0.34316131,0.343
C. Grant,Hibernian,230,1.2344373599999998,1.234
C. Johns,Hearts,138,0.23152364999999994,0.232
C. Lafaix,Rangers,18,0.09732002000000001,0.097
C. McCulloch,Partick Thistle,224,0.28319989,0.283
C. McGuire,Hamilton Academical,5,0.004466049999999999,0.004
C. Muir,Hamilton Academical,31,0.04750216999999999,0.048
C. Nicolson,Hamilton Academical,23,0.055609030000000004,0.056
C. Walsh,Celtic,475,0.38176211,0.382
C. Warrington,Glasgow City,172,0.11534649,0.115
C. Watson,Motherwell,246,0.22492305,0.225
D. Brown,Motherwell,2,-0.0111372,-0.011
D. Dawson,Celtic,61,-0.00926643,-0.009
D. Falconer,Partick Thistle,267,0.7425359899999999,0.743
