Player,Team,Assists,ShotAssists,xAG
A. Akpan,Southampton FC Women,0,1,0.03
A. Andrews,Sheffield United WFC,0,3,0.18
A. Blanchard,Crystal Palace Women FC,2,3,1.04
A. Claypole,Nottingham Forest WFC,1,0,0.09
A. Everett,Crystal Palace Women FC,0,1,0.1
A. Ferguson,Southampton FC Women,0,2,0.07
A. Lafayette,Sheffield United WFC,0,3,0.2
A. Larkin,Crystal Palace Women FC,0,1,0.05
A. Mannion,Newcastle United WFC,0,2,0.38
A. Nixon,Portsmouth FC Women,1,3,0.25
A. Primus,Southampton FC Women,0,5,0.28
A. Rodgers,Nottingham Forest WFC,0,4,0.19
A. Stobbs,Durham WFC,0,1,0.35
A. Thestrup,Charlton Athletic WFC,0,6,0.43
A. Weerden,Crystal Palace Women FC,1,9,1.29
B. Hepple,Durham WFC,1,2,0.75
B. Louis,Birmingham City WFC,0,3,0.13
B. Lumsden,Newcastle United WFC,1,3,0.66
B. Roe,Ipswich Town FC Women,0,3,0.15
C. Boye-Hlorkah,Nottingham Forest WFC,0,3,0.16
C. Cornet,Birmingham City WFC,0,6,0.63
C. Devlin,Sheffield United WFC,0,5,0.33
C. Harrison-Murray,Birmingham City WFC,1,9,0.59
C. Mustaki,Nottingham Forest WFC,1,1,0.69
C. Newsham,Charlton Athletic WFC,1,3,1.04
C. Peplow,Southampton FC Women,0,1,0.03
C. Sáez,Bristol City WFC,0,2,0.89
C. Wardlaw,Newcastle United WFC,0,2,0.16
C. Wellings,Nottingham Forest WFC,0,2,0.1
D. Cooper,Newcastle United WFC,0,1,0.03
D. Rose,Nottingham Forest WFC,0,6,0.43
D. Stokes,Newcastle United WFC,1,1,0.44
E. Bissell,Charlton Athletic WFC,0,3,0.41
E. Brazil,Southampton FC Women,2,3,0.66
E. Butler,Sheffield United WFC,0,1,0.07
E. Hack,Southampton FC Women,0,1,0.09
E. Hed,Nottingham Forest WFC,0,1,0.05
E. Hughes,Crystal Palace Women FC,0,7,0.96
E. Kelly,Newcastle United WFC,0,2,0.1
E. Mason,Charlton Athletic WFC,0,1,0.43
E. Morgan,Bristol City WFC,0,1,0.09
E. Murphy,Newcastle United WFC,0,2,0.13
E. Scarr,Sunderland WFC,2,1,0.43
E. Syme,Bristol City WFC,0,9,1.55
E. Taylor,Sheffield United WFC,0,1,0.06
F. Gregory,Newcastle United WFC,0,4,0.95
F. Thomas,Nottingham Forest WFC,0,1,0.09
G. Ayre,Durham WFC,0,2,0.12
G. Brougham,Nottingham Forest WFC,0,2,0.3
G. Freeland,Portsmouth FC Women,0,1,0.09
G. Humphries,Portsmouth FC Women,0,1,0.07
G. Kenney,Charlton Athletic WFC,0,2,0.13
G. Lawley,Bristol City WFC,0,1,0.07
G. Neville,Ipswich Town FC Women,0,1,0.1
H. Bennett,Bristol City WFC,1,0,0.47
H. Blake,Durham WFC,1,2,0.98
H. Coan,Portsmouth FC Women,0,1,0.04
I. Atkinson,Sunderland WFC,1,2,0.7
I. Collins,Portsmouth FC Women,0,1,0.15
I. Watts,Southampton FC Women,0,1,0.03
J. Brown,Sunderland WFC,1,2,0.48
J. Bull,Portsmouth FC Women,0,1,0.05
J. Dahou,Portsmouth FC Women,0,1,0.04
J. Gale,Portsmouth FC Women,1,0,0.05
J. Gray,Portsmouth FC Women,0,1,0.06
J. Green,Crystal Palace Women FC,0,1,0.12
J. Hutton,Charlton Athletic WFC,0,2,0.11
J. McQuade,Newcastle United WFC,0,3,0.11
J. Nobbs,Newcastle United WFC,0,2,0.1
J. Ralph,Sheffield United WFC,0,1,0.03
