Player,Team,Assists,ShotAssists,xAG
A. Marques,Sevilla FC,0,1,0.03
A. Poljak,Madrid CFF,0,2,0.06
A. Zaremba,CD Tenerife,1,3,1.04
A. Álvarez,Sevilla FC,1,2,0.4
Aiara Agirrezabala,Real Sociedad de Fútbol,0,2,0.56
Ainhoa Marín,RC Deportivo de La Coruña,0,2,0.12
Ainoa Campo,Reial Club Deportiu Espanyol,1,0,0.39
Aitana Bonmatí,FC Barcelona,0,3,0.32
Aithiara Carballo,CD Tenerife,0,1,0.09
Alba Pérez,Granada CF,0,1,0.03
Alexia Fernández,Club Atlético de Madrid Féminas,0,2,0.14
Alexia Putellas,FC Barcelona,0,1,0.15
Alharilla Casado,Levante UD,0,1,0.04
Alicia Redondo,Sevilla FC,0,1,0.06
Amaia Iribarren,SD Eibar,0,1,0.09
Ana Franco,Levante UD,0,1,0.1
Ana González,FC Badalona Women,0,2,0.36
Ana Velázquez,Alhama CF,0,1,0.04
Andrea Medina,Club Atlético de Madrid Féminas,0,1,0.07
Andreia Jacinto,Real Sociedad de Fútbol,0,4,0.2
Ane Etxezarreta,SD Eibar,0,1,0.03
Anita Marcos,Madrid CFF,0,1,0.03
Anna Torrodà,Reial Club Deportiu Espanyol,0,1,0.03
Ariadna Mingueza,Granada CF,1,0,0.05
Arola Aparicio,Real Sociedad de Fútbol,0,1,0.09
Astrid Álvarez,Alhama CF,0,6,0.34
Athenea del Castillo,Real Madrid CF,1,1,0.16
Aïcha Cámara,FC Barcelona,0,1,0.05
Bárbara Latorre,RC Deportivo de La Coruña,0,1,0.1
C. Cavanagh,RC Deportivo de La Coruña,0,1,0.05
C. Graham Hansen,FC Barcelona,0,4,0.28
C. Weir,Real Madrid CF,0,1,0.15
Carlota Suárez,CD Tenerife,0,1,0.05
Carol Marín,Levante UD,0,1,0.08
Cecilia Marcos,Real Sociedad de Fútbol,0,1,0.03
Clàudia Pina,FC Barcelona,0,1,0.11
Cristina Postigo,Granada CF,0,1,0.06
D. Falfán,DUX Logroño,0,1,0.05
Daniela Agote,Athletic Club Bilbao,0,2,0.1
Dolores Silva,Levante UD,0,2,0.42
Débora García,Sevilla FC,0,1,0.15
E. Banini,FC Badalona Women,0,1,0.03
E. Brugts,FC Barcelona,0,1,0.08
E. Pajor,FC Barcelona,2,9,1.76
Elba Vergés,CD Tenerife,2,0,0.87
Elena Julve,FC Badalona Women,0,1,0.08
Elene Guridi,Real Sociedad de Fútbol,0,1,0.1
Emma Moreno,SD Eibar,0,1,0.05
Encarni,Alhama CF,0,2,0.1
Esther Laborde,Madrid CFF,0,3,0.17
Esther Martín-Pozuelo,Sevilla FC,0,2,0.08
Eva Alonso,Levante UD,0,1,0.04
Eva Navarro,Real Madrid CF,0,2,0.16
F. Dembele,CD Tenerife,0,1,0.05
Fatou Kanteh,Sevilla FC,0,1,0.09
Fiamma Benítez,Club Atlético de Madrid Féminas,1,1,0.41
G. García,Club Atlético de Madrid Féminas,2,0,0.86
Garazi Fácila,SD Eibar,0,2,0.15
Guereñu,SD Eibar,0,1,0.07
H. Antonsdóttir,Madrid CFF,0,2,0.16
